t=2026-01-08T17:59:07+0200 lvl=info msg="join connections" obj=join id=70bdb1c3f2c5 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:07+0200 lvl=info msg="join connections" obj=join id=23b8f822ca81 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=a96971eba491 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=8a8a7ab7dbe0 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=f9e019a899d9 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=396bf04e4c38 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=418de5da9046 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=e0731e6be86a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:08+0200 lvl=info msg="join connections" obj=join id=bc7e921eb78a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=ae4fd78dd5b8 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=af5b156edb37 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=537a79e6be2a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=b2b9275fcb48 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=d3b0cda500ee l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:09+0200 lvl=info msg="join connections" obj=join id=75fd9f9e67a9 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:13+0200 lvl=info msg="join connections" obj=join id=c0cafa637257 l=127.0.0.1:3000 r=41.216.86.42:35593
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=24db1249e152 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=f27045f9ae8a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=b2015fab1940 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=44d236f075e1 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=a64777b0754a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=676d80c19d4c l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=c4718379d44f l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=f9f4c5f842a0 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=65f8a29d02e3 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=99ecaea23077 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=1c3b67658066 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=3701f68f4136 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=31478c7f1d2a l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=f84de1fd1b1f l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=9eeef5f4fde7 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:15+0200 lvl=info msg="join connections" obj=join id=8a0da7954ba0 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=64c95ab74916 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=39880ef9d911 l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=5ff43bbde1aa l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=d161362e02be l=127.0.0.1:3000 r=41.216.86.42:20022
t=2026-01-08T17:59:16+0200 lvl=info msg="join connections" obj=join id=861c7ec3517b l=127.0.0.1:3000 r=41.216.86.42:20022
